rate,descript,titl,brand,imageurl,producturl,price,title_token,rating_token,brand_token,text_column
0 no rate yet,hp envi x360 core i5 th gen12 gb1 tbwindow 10 laptop has a display for your daili need which is veri superfast and easi to use this laptop is power by processor coupl with 12gb of ram and has 1 tb hdd storag at this price point as far as the graphic card is concern this notebook has graphic card to manag the graphic function to keep it aliv it has a batteri that can serv you as long as anywher you go it has love featur make it veri versatil and function for busi operationspow processor,hp envi x360 15mbp111dx intel core i5 8250u 156 1tb hdd 12gb ram backlit keyboard univers modem 32gb flash,hp,,,270000,"['hp', envy', x360', 15mbp111dx', intel', core', i5', 8250u', 156', 1tb', hdd', 12gb', ram', backlit', keyboard', universal', modem', 32gb', flash']","['0', no', rating', yet']",['hp'],0 rate yet
5 base on 1 rate,,dell alienwar 17 r4 core i7 1tb512gb 32gb 8gb nvidia 1080 tobii eyetrack win 10 7th gen,dell,,,1590000,"['dell', alienware', 17', r4', core', i7', 1tb512gb', 32gb', 8gb', nvidia', 1080', tobii', eyetracking', win', 10', 7th', gen']","['5', based', on', 1', rating']",['dell'],5 base 1 rate
0 no rate yet,,samsung notebook 9 pro np940x5mx01us 15 touch screen laptop 7th gen intel core i77500u up to 27ghz 16gb ddr4 256gb ssd backlit keyboard window 10 titan silver,samsung,,,368000,"['samsung', notebook', 9', pro', np940x5mx01us', 15', touch', screen', laptop', 7th', gen', intel', core', i77500u', up', to', 27ghz', 16gb', ddr4', 256gb', ssd', backlit', keyboard', windows', 10', titan', silver']","['0', no', rating', yet']",['samsung'],0 rate yet
0 no rate yet,oper system window 10 home 64processor intel pentium 3825u with intel hd graphic 19 ghz 2 mb cach 2 coresprocessor famili intel pentium processormemori 8gb ddr3l sdram storag 500gb 5400 rpm sata dropbox hp connect drive1 supermulti dvd burnerwebcam hp truevis hd webcam frontfac with integr digit microphonecommun integr 10100 baset ethernet lan 80211bgn 1x1 and bluetooth 40 comboeas of use kensington microsav lock slot poweron password accept thirdparti secur lock devicesdisplay 396 cm 156 diagon hd brightview wledbacklit 1366 x 768video intel hd graphicssound dts studio sound with 2 speakerskeyboard fullsiz islandstyl keyboard with integr numer keypad1 hdmi 1 headphonemicrophon combo 2 usb 20 1 usb 30 1 rj451 multiformat sd media card readerbatteri type 4cell 41 wh liionpow 45w ac power adapterproduct colour white silveraddit inform pn n7j41ea abuupcean code 889894337276weight 219 kg pack 3 kgdimens 3843 x 2546 x 243 cm pack 47 x 294 x 76 cm1year hp warranti,hp 15 intel pentium quad core 500gb hdd 8gb ramantivirus 2 user window 10 laptop silver,hp,,,127900,"['hp', 15', intel', pentium', quad', core', 500gb', hdd', 8gb', ramantivirus', 2', user', windows', 10', laptop', silver']","['0', no', rating', yet']",['hp'],0 rate yet
0 no rate yet,,hp pavilion 13u157 x360 convert core i525ghz1tb8gb touchbacklit keyboardno dvd rom13win10carri bag,hp,,,235000,"['hp', pavilion', 13u157', x360', convertible', core', i525ghz1tb8gb', touchbacklit', keyboardno', dvd', rom13win10carrier', bag']","['0', no', rating', yet']",['hp'],0 rate yet
0 no rate yet,hp 255 g5 amd quadcor 500gb 4gb dvd 156screen window 10 16gb flash,hp 255 amd quadcor 500gb 4gb dvd 156screen window 10 16gb flash,hp,,,97000,"['hp', 255', amd', quadcore', 500gb', 4gb', dvd', 156screen', windows', 10', 16gb', flash']","['0', no', rating', yet']",['hp'],0 rate yet
0 no rate yet,,hp notebook 15bs013dx intel core i3 24ghz 7th gen dvdwriter fullsiz island 8gb ram 1tb hdd window 10 32gb flash,hp,,,156000,"['hp', notebook', 15bs013dx', intel', core', i3', 24ghz', 7th', gen', dvdwriter', fullsize', island', 8gb', ram', 1tb', hdd', windows', 10', 32gb', flash']","['0', no', rating', yet']",['hp'],0 rate yet
0 no rate yet,performanceoper systemwindow 10 home 64processorintel pentium n3710 16 ghz up to 256 ghz with intel turbo boost technology2 mb cach 4 coresprocessor famili intel pentium processormemory4 gb ddr3l1600 sdram 1 x 4 gbstorage500 gb 5400 rpm satadropbox1graphicsintegr intel hd graphic 405audiodt studio sound dual speakersdisplay295 cm 116 diagon hd ip uwva wledbacklit multitouchenablededgetoedg glass 1366 x 768power45 w ac power adapterbatteri type3cel 41 wh liiontarget batteri lifeup to 11 hour estim batteri time3connectivitywireless connectivity80211bgn 1x1 and bluetooth 40 combo miracast compatibleports1 hdmi 1 headphonemicrophon combo 2 usb 20 1 usb 311 multiformat sd media card readerwebcamhp webcam with integr digit microphonedesignproduct colorjack black linear groov patternsoftwarehp appshp audio switch hp coolsens hp jumpstartsoftwarecyberlink powerdirector netflix 1 month trial for new microsoft offic 365customersservic supportmcafe livesaf 2addit informationpart numberpn 1jl40ea bh5upcean code 190781571049energi effici complianceenergi star certifi epeat silver registeredweight145 kgpack 219 kgdimensions306 x 208 x 198 cmpack 435 x 26 x 69 cmwarranty1year limit part labour and carryin servic you can expand the warrantycoverag of your product to reach up to 3 year in total for more inform checkwith your hp resellerkeyboardfulls islandstyl keyboardhp imagepad with multitouch gestur supportsecur managementkensington microsav lock slot poweron password accept thirdparti securitylock devic trust platform modul tpm supportsensorsacceleromet gyroscop ecompass,hp x360 convert 11ab002nia intel pentium n3710 16 ghz 4gb ram 500gb hdd window 10 home,hp,,,141000,"['hp', x360', convertible', 11ab002nia', intel', pentium', n3710', 16', ghz', 4gb', ram', 500gb', hdd', window', 10', home']","['0', no', rating', yet']",['hp'],0 rate yet
0 no rate yet,hp pavilion notebook 15au023cl touchscreen window 10 home 6th generat intel core i56200u processor 12gb ddr4 sdram 1 dimm intel hd graphic 520 1tb 5400rpm serial ata hard drive finish natur silver and ash silver with horizont brush in digit thread line frontfac hp wide vision hd webcam with integr dual array digit microphon supermulti dvd burner 156inch diagon hd sva brightview wledbacklit 1366x768 1x1 80211bgn wlan and bluetooth multiformat digit media card reader bo play with dual speaker fullsiz bilingu english islandstyl keyboardwhatev your passion about get readi to take it to the next level with the allnew hp pavilion notebook it pack with the featur you need to spark your creativ,hp pavilion 15intel core i5 28ghz 12gb 1tb hdd 156inch touchscreen window 10 laptop silver,hp,,,380000,"['hp', pavilion', 15intel', core', i5', 28ghz', 12gb', 1tb', hdd', 156inch', touchscreen', windows', 10', laptop', silver']","['0', no', rating', yet']",['hp'],0 rate yet
0 no rate yet,,hp pavilion 15cc563st intel core i77500u 27 ghz 12 gb ram 1 tb hdd 7th generat 156 inch backlit keyboard window 10 32gb flash usb light,hp,,,220000,"['hp', pavilion', 15cc563st', intel', core', i77500u', 27', ghz', 12', gb', ram', 1', tb', hdd', 7th', generation', 156', inches', backlit', keyboard', windows', 10', 32gb', flash', usb', light']","['0', no', rating', yet']",['hp'],0 rate yet
0 no rate yet,,appl 13 macbook air 22ghz intel core i7 8gb ram 512gb ssd mac os silver z0uu1lla,appl,,,780000,"['apple', 13', macbook', air', 22ghz', intel', core', i7', 8gb', ram', 512gb', ssd', mac', os', silver', z0uu1lla']","['0', no', rating', yet']",['apple'],0 rate yet
5 base on 1 rate,brand namealienwareseriesaw17r4 pusitem model numberaw17r47352slvpushardwar platformpc notebookoper systemwindow 10 home 64bit englishitem weight97 poundsproduct dimensions13 x 167 x 12 inchesitem dimens l x w x h13 x 1669 x 117 inchescolorep silverprocessor brandintelprocessor count4flash memori size2560hard drive interfacesolid statehard drive rotat speed7200 rpmoptic drive typenonebatteries1 lithium ion batteri requir includ,dell alienwar 17 r4 core i7 1tb512gb128gb 32gb 8gb nvidia 1080 tobii eyetrack win 10 7th gen,dell,,,1650000,"['dell', alienware', 17', r4', core', i7', 1tb512gb128gb', 32gb', 8gb', nvidia', 1080', tobii', eyetracking', win', 10', 7th', gen']","['5', based', on', 1', rating']",['dell'],5 base 1 rate
0 no rate yet,,hp hp 15 notebook pc 4gb ram 500gb window 10 touch screen laptop,hp,,,195000,"['hp', hp', 15', notebook', pc', 4gb', ram', 500gb', windows', 10', touch', screen', laptop']","['0', no', rating', yet']",['hp'],0 rate yet
0 no rate yet,,appl macbook pro 154 retina intel i7 512gb 16gb 29ghz 4gb radeon space gray mptt2lla newest version,appl,,,820000,"['apple', macbook', pro', 154', retina', intel', i7', 512gb', 16gb', 29ghz', 4gb', radeon', space', gray', mptt2lla', newest', version']","['0', no', rating', yet']",['apple'],0 rate yet
0 no rate yet,the,hp pavilion 15 intel core i57200u backlit keyboard25ghz 8gb ram1tb hdd 156inch touch screen window 10 laptop free bag red silver,hp,,,190000,"['hp', pavilion', 15', intel', core', i57200u', backlit', keyboard25ghz', 8gb', ram1tb', hdd', 156inch', touch', screen', windows', 10', laptop', free', bag', red', silver']","['0', no', rating', yet']",['hp'],0 rate yet
0 no rate yet,13 appl macbook pro with touch bar 35ghz 7th gen kabi lake dualcor intel core i7 turbo boost up to 40ghz with 4mb share l3 cach 512gb pciebas onboard ssd 16gb of 2133mhz lpddr3 onboard memori 133inch diagon ledbacklit display with ip technolog 2560by1600 nativ resolut at 227 pixel per inch with support for million of color 500 nit bright intel iri plus graphic 650 four thunderbolt 3 usbc port with support for charg displayport thunderbolt up to 40 gbps usb 31 gen 2 up to 10 gbps touch bar with integr touch id sensor fullsiz english backlit keyboard with 64 us or 65 iso key includ 4 arrow key ambient light sensor forc touch trackpad for precis cursor control and pressuresens capabl enabl forc click acceler pressuresensit draw and multitouch gestur 80211ac wifi wireless network ieee 80211abgn compat bluetooth 42 wireless technolog 720p facetim hd camera one extern display with 5120by2880 resolut at 60hz at over a billion color or up to two extern display with 4096by2304 resolut at 60hz at over a billion color stereo speaker with high dynam rang three microphon 35 mm headphon jack up to 10 hour batteri life up to 30 day of standbi time builtin 492watthour lithiumpolym batteri 61w usbc power adapt height 059 inch 149 cm width 1197 inch 3041 cm depth 836 inch 2124 cm weight 302 pound 137 kg,appl retina macbook pro 13 touch bar 35ghz i7 kabi lake 16gb 512gb silver 2017 model,appl,,,784000,"['apple', retina', macbook', pro', 13', touch', bar', 35ghz', i7', kaby', lake', 16gb', 512gb', silver', 2017', model']","['0', no', rating', yet']",['apple'],0 rate yet
5 base on 1 rate,,hp elitebook 850 g3 6th gen intel core i76500u 500 gb 8 gb 156 w10 pro,hp,,,500000,"['hp', elitebook', 850', g3', 6th', gen', intel', core', i76500u', 500', gb', 8', gb', 156', w10', pro']","['5', based', on', 1', rating']",['hp'],5 base 1 rate
4 base on 2 rate,the new aspir 3 seri is perfect for everi need it pack a beauti 156 hd screen solid perform and the latest wifi into an attract design that easi to place in a backpack and take to class offer good bang for your buck this has all the essenti you need so you can quick brows the web manag a budget or catch up on schoolwork acer aspir 3 a31531 156 hd acer cinecryst led lcd intel graphic intel celeron n3350 2gb ddr3 500gb hdd linux free dos bootup,acer aspir 3 a31531 intel celeron n3350 500gb hdd 2gb ram 156inch hd linux free dos laptop black,acer,,,84990,"['acer', aspire', 3', a31531', intel', celeron', n3350', 500gb', hdd', 2gb', ram', 156inch', hd', linux', free', dos', laptop', black']","['4', based', on', 2', ratings']",['acer'],4 base 2 rate
0 no rate yet,the new aspir 3 seri is perfect for everi need it pack a beauti 156 hd screen solid perform and the latest wifi into an attract design that easi to place in a backpack and take to class offer good bang for your buck this has all the essenti you need so you can quick brows the web manag a budget or catch up on schoolwork acer aspir 3 a31531 156 hd acer cinecryst led lcd intel graphic intel celeron n3350 4gb ddr3 500gb hdd linux free dos bootup,acer aspir 3 a31531c2lw intel celeron n3350 500gb hdd 4gb ram 156inch hd linux free dos laptop black,acer,,,87990,"['acer', aspire', 3', a31531c2lw', intel', celeron', n3350', 500gb', hdd', 4gb', ram', 156inch', hd', linux', free', dos', laptop', black']","['0', no', rating', yet']",['acer'],0 rate yet
47 base on 3 rate,the new aspir 3 seri is perfect for everi need it pack a beauti 156 hd screen solid perform and the latest wifi into an attract design that easi to place in a backpack and take to class offer good bang for your buck this has all the essenti you need so you can quick brows the web manag a budget or catch up on schoolwork acer aspir 3 a3155135dq156 intel core i37100u 4gb ddr4 1tb hdd free dos,acer aspir 3 a3155135dq intel core i36006u 24ghz 1tb hdd 4gb ram 155inch free dos laptop black,acer,,,129990,"['acer', aspire', 3', a3155135dq', intel', core', i36006u', 24ghz', 1tb', hdd', 4gb', ram', 155inch', free', dos', laptop', black']","['47', based', on', 3', ratings']",['acer'],47 base 3 rate
0 no rate yet,hp 15f222wm 156 laptop touchscreen window 10 home intel pentium quadcor processor 4gb memori 500gb hard drivedisplay 156oper system window 10 homeprocessor intel pentium quadcor processorram memori 4gbhard drive 500gbthis reliabl valuepack laptop combin the featur you need to get the job done and a sleek thin design you can easili take on the road hp 15f222wm 156 laptopfeatur and benefits156 touchscreen displayl backlight hd touchscreen displayintel pentium quadcor processor216ghz with max turbo speed of 266ghz4gb ddr3l sdram system memoryg you the power to handl most powerhungri applic and tonn of multimedia work500gb sata hard drivestor 333000 photo 142000 song or 263 hour of hd video and more5 hour of batteri lifelonglast batteri life give you all day to access your photo video music and documentsintel hd graphicswith 1792mb dedic graphic memoryweight 505 lbsthin design you can easili take on the roadsup multi dvd burnerwatch movi and read and write cds and dvds in multipl formats10100 fast ethernet 80211bgn wireless lanconnect to a broadband modem with wire ethernet or wireless connect to a wifi signal or hotspot with the 80211bgn connect built into your pcaddit featuresfrontfac vga webcam with integr digit microphonemultiin1 card readerfulls islandstyl keyboard with numer keypad1 x dcin port 1 x ethernet port 1 x hdmi port 1 x headphonemicrophon jack 1 x usb 20 port 2 x usb 30 ports3cel lithiumion batterydimens 089 x 1518 x 1016colour black licoricewhat in the boxpow cord and ac adapter3cel batteryquick start guid,hp 15 touchscreen pentium quadcor 4gb ram 500 hdd 156 win 10 black,hp,,,118490,"['hp', 15', touchscreen', pentium', quadcore', 4gb', ram', 500', hdd', 156', win', 10', black']","['0', no', rating', yet']",['hp'],0 rate yet
45 base on 2 rate,the hp 15 is the perfect hybrid of design reliabl and great featur youv got premium style and superior product in one handi packag while keep your wallet in mind now that someth to get excit about,hp 15 intel celeron 16ghz 4gb ram500gb hdd 156inch screen window 10,hp,,,99990,"['hp', 15', intel', celeron', 16ghz', 4gb', ram500gb', hdd', 156inch', screen', windows', 10']","['45', based', on', 2', ratings']",['hp'],45 base 2 rate
5 base on 1 rate,,innjoo leapbook a100 intel atom x5 quad core 2gb32gb emmc 14inch window 10 laptop champagn gold,innjoo,,,65000,"['innjoo', leapbook', a100', intel', atom', x5', quad', core', 2gb32gb', emmc', 14inch', windows', 10', laptop', champagne', gold']","['5', based', on', 1', rating']",['innjoo'],5 base 1 rate
4 base on 24 rate,model hp 255 amd quad core4 core 500gb hdd 4gb ram with bag 16gb flashprocessor up to 216ghzmemori 4gbhard disk 500gbgraphic card intel hd graphicsscreen 156 hd bv ledbacklight displaysupermulti 8x dvdrwnetwork wifi 80211 bgn bluetoothwebcam micbatteri liion 4celloper system window 10 homeoth memori card reader wireless dual audio speakerscolor blackmass 3kgwarranti 1 year,hp 255 amd quad core 500gb hdd4gb 32gb flash window 10,hp,,,92500,"['hp', 255', amd', quad', core', 500gb', hdd4gb', 32gb', flash', windows', 10']","['4', based', on', 24', ratings']",['hp'],4 base 24 rate
38 base on 6 rate,the ideabook notebook is a dynam pc that is incred in design and just as effici in deliveri craft with a space of 4gb64gb ram to rom memori capac this 141 inch wide sophist notebook come with the window 10 oper system and can do virtual everyth that a bigger size laptop can do by all standard the ideabook is a compact personif of your everyday laptop but with more sleek outlook and better design,waafox ideabook air wn1401 intel x5 8350 quad core 11ghz processor 4gb ddr3 64gb ssd 141inch window 10,waafox,,,72490,"['waafox', ideabook', air', wn1401', intel', x5', 8350', quad', core', 11ghz', processor', 4gb', ddr3', 64gb', ssd', 141inch', windows', 10']","['38', based', on', 6', ratings']",['waafox'],38 base 6 rate
2 base on 2 rate,serious power and speed makeseveryth you do feel fast andrespons so you can multitask witheas confid save everyth youcant live without with up to a 1tbhard drive,hp pavilion x360 intel core i57200u 25ghz 8gb ram 1tb hdd 156 inch touch screen window 10 natur silver 2fn78ea,hp,,,200000,"['hp', pavilion', x360', intel', core', i57200u', 25ghz', 8gb', ram', 1tb', hdd', 156', inch', touch', screen', windows', 10', natural', silver', 2fn78ea']","['2', based', on', 2', ratings']",['hp'],2 base 2 rate
