rating,description,title,brand,image_urls,product_url,price,Title_tokens,Rating_tokens,Brand_tokens
0 No rating yet,HP Envy Core i5 8th Gen12 GB1 TBWindows 10 laptop has a display for your daily needs which is very superfast and easy to use This laptop is powered by processor coupled with 12GB of RAM and has 1 TB HDD storage at this price point As far as the graphics card is concerned this notebook has graphics card to manage the graphical functions To keep it alive it has a battery that can serve you as long as anywhere you go It has lovely features making it very versatile and functional for business operationsPower Processor,HP ENVY X360 15MBP111DX INTEL CORE I5 8250U 156 1TB HDD 12GB RAM 1year Mcafee Internet Security 32gb Flash,HP,,,250000,"['hp', 'envi', 'x360', '15mbp111dx', 'intel', 'core', 'i5', '8250u', '156', '1tb', 'hdd', '12gb', 'ram', '1year', 'mcafe', 'internet', 'secur', '32gb', 'flash']","['0', 'no', 'rate', 'yet']",['hp']
0 No rating yet,HP Envy x360 Core i5 th Gen12 GB1 TBWindows 10 laptop has a display for your daily needs which is very superfast and easy to use This laptop is powered by processor coupled with 12GB of RAM and has 1 TB HDD storage at this price point As far as the graphics card is concerned this notebook has graphics card to manage the graphical functions To keep it alive it has a battery that can serve you as long as anywhere you go It has lovely features making it very versatile and functional for business operationsPower Processor,HP ENVY X360 15MBP111DX INTEL CORE I5 8250U 156 1TB HDD 12GB RAM Backlit Keyboard UNIVERSAL MODEM 32GB FLASH,HP,,,270000,"['hp', 'envi', 'x360', '15mbp111dx', 'intel', 'core', 'i5', '8250u', '156', '1tb', 'hdd', '12gb', 'ram', 'backlit', 'keyboard', 'univers', 'modem', '32gb', 'flash']","['0', 'no', 'rate', 'yet']",['hp']
5 Based on 1 rating,,Dell Alienware 17 R4 Core I7 1TB512gb 32gb 8gb Nvidia 1080 Tobii EyeTracking Win 10 7th Gen,Dell,,,1590000,"['dell', 'alienwar', '17', 'r4', 'core', 'i7', '1tb512gb', '32gb', '8gb', 'nvidia', '1080', 'tobii', 'eyetrack', 'win', '10', '7th', 'gen']","['5', 'base', '1', 'rate']",['dell']
0 No rating yet,,Samsung Notebook 9 Pro NP940X5MX01US 15 Touch Screen Laptop 7th Gen Intel Core I77500U Up To 27GHz 16GB DDR4 256GB SSD Backlit Keyboard Windows 10 Titan Silver,Samsung,,,368000,"['samsung', 'notebook', '9', 'pro', 'np940x5mx01us', '15', 'touch', 'screen', 'laptop', '7th', 'gen', 'intel', 'core', 'i77500u', 'up', 'to', '27ghz', '16gb', 'ddr4', '256gb', 'ssd', 'backlit', 'keyboard', 'window', '10', 'titan', 'silver']","['0', 'no', 'rate', 'yet']",['samsung']
0 No rating yet,Operating System  Windows 10 Home 64Processor  Intel Pentium 3825U with Intel HD Graphics 19 GHz 2 MB cache 2 coresProcessor family  Intel Pentium processorMemory  8GB DDR3L SDRAM Storage 500GB 5400 rpm SATA Dropbox HP Connected Drive1 SuperMulti DVD burnerWebcam  HP TrueVision HD Webcam frontfacing with integrated digital microphoneCommunication  Integrated 10100 BASET Ethernet LAN 80211bgn 1x1 and Bluetooth 40 comboEase of use  Kensington MicroSaver lock slot Poweron password Accepts thirdparty security lock devicesDisplay  396 cm 156 diagonal HD BrightView WLEDbacklit 1366 x 768Video  Intel HD GraphicsSound  DTS Studio Sound with 2 speakersKeyboard  Fullsize islandstyle keyboard with integrated numeric keypad1 HDMI 1 headphonemicrophone combo 2 USB 20 1 USB 30 1 RJ451 multiformat SD media card readerBattery Type  4cell 41 Wh LiionPower  45W AC power adapterProduct Colour  White silverAdditional information PN N7J41EA ABUUPCEAN code 889894337276Weight 219 kg Packed 3 kgDimensions 3843 x 2546 x 243 cm Packed 47 x 294 x 76 cm1year Hp Warranty,HP 15 Intel Pentium Quad Core 500GB HDD 8GB RAMANTIVIRUS 2 USER Windows 10 Laptop  Silver,HP,,,127900,"['hp', '15', 'intel', 'pentium', 'quad', 'core', '500gb', 'hdd', '8gb', 'ramantivirus', '2', 'user', 'window', '10', 'laptop', 'silver']","['0', 'no', 'rate', 'yet']",['hp']
0 No rating yet,                ,HP Pavilion 13U157 X360 Convertible  Core I525GHz1tb8gb TouchBacklit KeyboardNo Dvd Rom13Win10Carrier Bag,HP,,,235000,"['hp', 'pavilion', '13u157', 'x360', 'convert', 'core', 'i525ghz1tb8gb', 'touchbacklit', 'keyboardno', 'dvd', 'rom13win10carri', 'bag']","['0', 'no', 'rate', 'yet']",['hp']
0 No rating yet,Hp 255 G5 AMD QuadCore 500GB 4GB DVD 156SCREEN Windows 10 16Gb Flash,HP 255 AMD QuadCore 500GB 4GB DVD 156SCREEN Windows 10 16Gb Flash,HP,,,97000,"['hp', '255', 'amd', 'quadcor', '500gb', '4gb', 'dvd', '156screen', 'window', '10', '16gb', 'flash']","['0', 'no', 'rate', 'yet']",['hp']
0 No rating yet,,HP Notebook 15bs013dx Intel Core I3  24GHz 7th Gen DvdWriter Fullsize Island 8GB RAM 1TB HDD  Windows 10 32gb Flash,HP,,,156000,"['hp', 'notebook', '15bs013dx', 'intel', 'core', 'i3', '24ghz', '7th', 'gen', 'dvdwriter', 'fullsiz', 'island', '8gb', 'ram', '1tb', 'hdd', 'window', '10', '32gb', 'flash']","['0', 'no', 'rate', 'yet']",['hp']
0 No rating yet,PerformanceOperating SystemWindows 10 Home 64ProcessorIntel Pentium N3710 16 GHz up to 256 GHz with Intel Turbo Boost Technology2 MB cache 4 coresProcessor family Intel Pentium processorMemory4 GB DDR3L1600 SDRAM 1 x 4 GBStorage500 GB 5400 rpm SATADropbox1GraphicsIntegrated Intel HD Graphics 405AudioDTS Studio Sound Dual speakersDisplay295 cm 116 diagonal HD IPS UWVA WLEDbacklit multitouchenablededgetoedge glass 1366 x 768Power45 W AC power adapterBattery Type3cell 41 Wh LiionTarget battery lifeUp to 11 hours estimated battery time3ConnectivityWireless connectivity80211bgn 1x1 and Bluetooth 40 combo Miracast compatiblePorts1 HDMI 1 headphonemicrophone combo 2 USB 20 1 USB 311 multiformat SD media card readerWebcamHP Webcam with integrated digital microphoneDesignProduct ColorJack black Linear grooves patternSoftwareHP AppsHP Audio Switch HP CoolSense HP JumpStartSoftwareCyberLink PowerDirector Netflix 1 month trial for new Microsoft Office 365customersService  supportMcAfee LiveSafe 2Additional informationPart NumberPN 1JL40EA BH5UPCEAN code 190781571049Energy Efficiency ComplianceENERGY STAR certified EPEAT Silver registeredWeight145 kgPacked 219 kgDimensions306 x 208 x 198 cmPacked 435 x 26 x 69 cmWarranty1year limited parts labour and carryin service You can expand the warrantycoverage of your product to reach up to 3 years in total for more information checkwith your HP resellerKeyboardFullsize islandstyle keyboardHP Imagepad with multitouch gesture supportSecurity managementKensington MicroSaver lock slot Poweron password Accepts thirdparty securitylock devices Trusted Platform Module TPM supportSensorsAccelerometers Gyroscope eCompass,HP X360 CONVERTIBLE 11AB002NIA Intel Pentium N3710 16 GHz 4GB RAM 500GB HDD WINDOW 10 HOME,HP,,,141000,"['hp', 'x360', 'convert', '11ab002nia', 'intel', 'pentium', 'n3710', '16', 'ghz', '4gb', 'ram', '500gb', 'hdd', 'window', '10', 'home']","['0', 'no', 'rate', 'yet']",['hp']
0 No rating yet,HP Pavilion Notebook 15au023cl TOUCHSCREEN Windows 10 Home 6th generation Intel Core i56200U Processor 12GB DDR4 SDRAM 1 DIMM Intel HD Graphics 520 1TB 5400RPM Serial ATA hard drive Finish Natural silver and ash silver with horizontal brushing in digital thread lines Frontfacing HP Wide Vision HD Webcam with integrated dual array digital microphones SuperMulti DVD burner 156inch diagonal HD SVA BrightView WLEDbacklit 1366x768 1x1 80211bgn WLAN and Bluetooth MultiFormat Digital Media Card Reader BO PLAY with dual speakers Fullsize bilingual English islandstyle keyboardWhatever youre passionate about get ready to take it to the next level with the allnew HP Pavilion Notebook Its packed with the features you need to spark your creativity,HP Pavilion 15Intel Core I5 28GHz 12GB 1TB HDD 156Inch Touchscreen Windows 10 Laptop  Silver,HP,,,380000,"['hp', 'pavilion', '15intel', 'core', 'i5', '28ghz', '12gb', '1tb', 'hdd', '156inch', 'touchscreen', 'window', '10', 'laptop', 'silver']","['0', 'no', 'rate', 'yet']",['hp']
0 No rating yet,,HP Pavilion 15cc563st Intel Core I77500u 27 GHz 12 GB RAM 1 TB HDD 7th Generation 156 Inches Backlit Keyboard Windows 10 32gb Flash  Usb Light,HP,,,220000,"['hp', 'pavilion', '15cc563st', 'intel', 'core', 'i77500u', '27', 'ghz', '12', 'gb', 'ram', '1', 'tb', 'hdd', '7th', 'generat', '156', 'inch', 'backlit', 'keyboard', 'window', '10', '32gb', 'flash', 'usb', 'light']","['0', 'no', 'rate', 'yet']",['hp']
0 No rating yet,,Apple 13 MacBook Air 22GHz Intel Core I7 8GB RAM 512GB SSD Mac OS Silver Z0UU1LLA,Apple,,,780000,"['appl', '13', 'macbook', 'air', '22ghz', 'intel', 'core', 'i7', '8gb', 'ram', '512gb', 'ssd', 'mac', 'o', 'silver', 'z0uu1lla']","['0', 'no', 'rate', 'yet']",['appl']
5 Based on 1 rating,Brand NameAlienwareSeriesAW17R4 PUSItem model numberAW17R47352SLVPUSHardware PlatformPC NotebookOperating SystemWindows 10 Home 64bit EnglishItem Weight97 poundsProduct Dimensions13 x 167 x 12 inchesItem Dimensions L x W x H13 x 1669 x 117 inchesColorEpic SilverProcessor BrandIntelProcessor Count4Flash Memory Size2560Hard Drive InterfaceSolid StateHard Drive Rotational Speed7200 RPMOptical Drive TypeNoneBatteries1 Lithium ion batteries required included,Dell Alienware 17 R4 Core I7 1TB512gb128GB 32gb 8gb Nvidia 1080 Tobii EyeTracking Win 10 7th Gen,Dell,,,1650000,"['dell', 'alienwar', '17', 'r4', 'core', 'i7', '1tb512gb128gb', '32gb', '8gb', 'nvidia', '1080', 'tobii', 'eyetrack', 'win', '10', '7th', 'gen']","['5', 'base', '1', 'rate']",['dell']
0 No rating yet,,HP HP 15 Notebook PC 4gb Ram 500gb Windows 10 Touch Screen Laptop,HP,,,195000,"['hp', 'hp', '15', 'notebook', 'pc', '4gb', 'ram', '500gb', 'window', '10', 'touch', 'screen', 'laptop']","['0', 'no', 'rate', 'yet']",['hp']
0 No rating yet,,Apple Macbook Pro 154 Retina Intel I7 512gb 16gb 29ghz 4gb Radeon Space Gray MPTT2LLA Newest Version,Apple,,,820000,"['appl', 'macbook', 'pro', '154', 'retina', 'intel', 'i7', '512gb', '16gb', '29ghz', '4gb', 'radeon', 'space', 'gray', 'mptt2lla', 'newest', 'version']","['0', 'no', 'rate', 'yet']",['appl']
0 No rating yet,The,HP Pavilion 15 Intel Core I57200U Backlit Keyboard25GHz 8GB RAM1TB HDD 156Inch Touch Screen Windows 10 Laptop Free Bag Red  Silver,HP,,,190000,"['hp', 'pavilion', '15', 'intel', 'core', 'i57200u', 'backlit', 'keyboard25ghz', '8gb', 'ram1tb', 'hdd', '156inch', 'touch', 'screen', 'window', '10', 'laptop', 'free', 'bag', 'red', 'silver']","['0', 'no', 'rate', 'yet']",['hp']
0 No rating yet,13 Apple MacBook Pro with Touch Bar 35GHz 7th Gen Kaby Lake dualcore Intel Core i7 Turbo Boost up to 40GHz with 4MB shared L3 cache 512GB PCIebased onboard SSD 16GB of 2133MHz LPDDR3 onboard memory 133inch diagonal LEDbacklit display with IPS technology 2560by1600 native resolution at 227 pixels per inch with support for millions of colors 500 nits brightness Intel Iris Plus Graphics 650 Four Thunderbolt 3 USBC ports with support for Charging DisplayPort Thunderbolt up to 40 Gbps USB 31 Gen 2 up to 10 Gbps Touch Bar with integrated Touch ID sensor Fullsize English backlit keyboard with 64 US or 65 ISO keys including 4 arrow keys  Ambient light sensor Force Touch trackpad for precise cursor control and pressuresensing capabilities enables Force clicks accelerators pressuresensitive drawing and MultiTouch gestures 80211ac WiFi wireless networking IEEE 80211abgn compatible Bluetooth 42 wireless technology 720p FaceTime HD camera One external display with 5120by2880 resolution at 60Hz at over a billion colors or Up to two external displays with 4096by2304 resolution at 60Hz at over a billion colors Stereo speakers with high dynamic range Three microphones 35 mm headphone jack Up to 10 hours battery life Up to 30 days of standby time Builtin 492watthour lithiumpolymer battery 61W USBC Power Adapter Height 059 inch 149 cm Width 1197 inches 3041 cm Depth 836 inches 2124 cm Weight 302 pounds 137 kg,Apple Retina MacBook Pro 13 Touch Bar 35ghz I7 Kaby Lake  16GB 512GB  Silver  2017 Model,Apple,,,784000,"['appl', 'retina', 'macbook', 'pro', '13', 'touch', 'bar', '35ghz', 'i7', 'kabi', 'lake', '16gb', '512gb', 'silver', '2017', 'model']","['0', 'no', 'rate', 'yet']",['appl']
5 Based on 1 rating,,HP Elitebook 850 G3 6th Gen Intel Core I76500u  500 GB 8 GB 156 W10 Pro,HP,,,500000,"['hp', 'elitebook', '850', 'g3', '6th', 'gen', 'intel', 'core', 'i76500u', '500', 'gb', '8', 'gb', '156', 'w10', 'pro']","['5', 'base', '1', 'rate']",['hp']
4 Based on 2 ratings,The new Aspire 3 Series is perfect for every need It packs a beautiful 156 HD screen solid performance and the latest WiFi into an attractive design thats easy to place in a backpack and take to class Offering good bang for your buck this has all the essentials you need so you can quickly browse the Web manage a budget or catch up on schoolwork Acer Aspire 3 A31531 156 HD Acer CineCrystal LED LCD Intel Graphics Intel Celeron N3350 2GB DDR3 500GB HDD Linux  Free DOS Bootup,Acer Aspire 3 A31531 Intel Celeron N3350 500GB HDD 2GB RAM 156Inch HD Linux  Free DOS Laptop  Black,Acer,,,84990,"['acer', 'aspir', '3', 'a31531', 'intel', 'celeron', 'n3350', '500gb', 'hdd', '2gb', 'ram', '156inch', 'hd', 'linux', 'free', 'do', 'laptop', 'black']","['4', 'base', '2', 'rate']",['acer']
0 No rating yet,The new Aspire 3 Series is perfect for every need It packs a beautiful 156 HD screen solid performance and the latest WiFi into an attractive design thats easy to place in a backpack and take to class Offering good bang for your buck this has all the essentials you need so you can quickly browse the Web manage a budget or catch up on schoolwork Acer Aspire 3 A31531 156 HD Acer CineCrystal LED LCD Intel Graphics Intel Celeron N3350 4GB DDR3 500GB HDD Linux  Free DOS Bootup,Acer Aspire 3 A31531C2LW Intel Celeron N3350 500GB HDD 4GB RAM 156Inch HD Linux  Free DOS Laptop  Black,Acer,,,87990,"['acer', 'aspir', '3', 'a31531c2lw', 'intel', 'celeron', 'n3350', '500gb', 'hdd', '4gb', 'ram', '156inch', 'hd', 'linux', 'free', 'do', 'laptop', 'black']","['0', 'no', 'rate', 'yet']",['acer']
47 Based on 3 ratings,The new Aspire 3 Series is perfect for every need It packs a beautiful 156 HD screen solid performance and the latest WiFi into an attractive design thats easy to place in a backpack and take to class Offering good bang for your buck this has all the essentials you need so you can quickly browse the Web manage a budget or catch up on schoolwork Acer Aspire 3 A3155135DQ156  Intel Core i37100U 4GB DDR4 1TB HDD Free DOS,Acer Aspire 3 A3155135DQ Intel Core I36006U 24GHz 1TB HDD 4GB RAM 155Inch Free DOS Laptop  Black,Acer,,,129990,"['acer', 'aspir', '3', 'a3155135dq', 'intel', 'core', 'i36006u', '24ghz', '1tb', 'hdd', '4gb', 'ram', '155inch', 'free', 'do', 'laptop', 'black']","['47', 'base', '3', 'rate']",['acer']
0 No rating yet,HP 15f222wm  156 Laptop Touchscreen Windows 10 Home Intel Pentium QuadCore Processor 4GB Memory 500GB Hard DriveDisplay 156Operating System Windows 10 HomeProcessor Intel Pentium QuadCore ProcessorRAM Memory 4GBHard Drive 500GBThis reliable valuepacked laptop combines the features you need to get the job done and a sleek thin design you can easily take on the road HP 15f222wm 156 LaptopFeatures and Benefits156 touchscreen displayLED Backlight HD Touchscreen DisplayIntel Pentium quadcore processor216GHz with Max Turbo Speed of 266GHz4GB DDR3L SDRAM system memoryGives you the power to handle most powerhungry applications and tonnes of multimedia work500GB SATA hard driveStore 333000 photos 142000 songs or 263 hours of HD video and more5 hours of battery lifeLonglasting battery life gives you all day to access your photos videos music and documentsIntel HD GraphicsWith 1792MB dedicated graphics memoryWeight 505 lbsThin design you can easily take on the roadSuper Multi DVD BurnerWatch movies and read and write CDs and DVDs in multiple formats10100 Fast Ethernet 80211bgn Wireless LANConnect to a broadband modem with wired Ethernet or wirelessly connect to a WiFi signal or hotspot with the 80211bgn connection built into your PCAdditional FeaturesFrontfacing VGA webcam with integrated digital microphoneMultiin1 card readerFullsize islandstyle keyboard with numeric keypad1 x DCin port 1 x Ethernet port 1 x HDMI port 1 x headphonemicrophone jack 1 x USB 20 port 2 x USB 30 ports3cell lithiumion batteryDimensions 089 x 1518 x 1016Colour Black LicoriceWhats In The BoxPower cord and AC adapter3cell batteryQuick Start Guide,HP 15  Touchscreen Pentium QuadCore  4GB RAM  500 HDD 156 Win 10  Black,HP,,,118490,"['hp', '15', 'touchscreen', 'pentium', 'quadcor', '4gb', 'ram', '500', 'hdd', '156', 'win', '10', 'black']","['0', 'no', 'rate', 'yet']",['hp']
45 Based on 2 ratings,The HP 15 is the perfect hybrid of design reliability and great features Youve got premium style and superior productivity in one handy package while keeping your wallet in mind now thats something to get excited about,HP 15 Intel Celeron 16GHz 4GB Ram500GB HDD 156Inch Screen Windows 10,HP,,,99990,"['hp', '15', 'intel', 'celeron', '16ghz', '4gb', 'ram500gb', 'hdd', '156inch', 'screen', 'window', '10']","['45', 'base', '2', 'rate']",['hp']
5 Based on 1 rating,,Innjoo LeapBook A100 Intel Atom X5 Quad Core 2GB32GB EMMc 14Inch Windows 10 Laptop  Champagne Gold,Innjoo,,,65000,"['innjoo', 'leapbook', 'a100', 'intel', 'atom', 'x5', 'quad', 'core', '2gb32gb', 'emmc', '14inch', 'window', '10', 'laptop', 'champagn', 'gold']","['5', 'base', '1', 'rate']",['innjoo']
4 Based on 24 ratings,Model  HP 255 AMD QUAD CORE4 Cores 500GB HDD 4GB RAM WITH BAG 16GB FLASHProcessor UP TO 216GHzMemory  4GBHard disk  500GBGraphics Card  Intel HD GraphicsScreen  156 HD BV LEDbacklight DisplaySuperMulti 8X DVDRWNetwork  WiFi 80211 bgn BluetoothWebcam  MicBattery  LiIon 4cellOperating system  Windows 10 HOMEOther  Memory card reader Wireless DUAL AUDIO SPEAKERSColors BlackMass 3kgWarranty  1 year,HP 255 AMD Quad Core 500GB HDD4GB 32GB Flash Windows 10,HP,,,92500,"['hp', '255', 'amd', 'quad', 'core', '500gb', 'hdd4gb', '32gb', 'flash', 'window', '10']","['4', 'base', '24', 'rate']",['hp']
38 Based on 6 ratings,The IdeaBook Notebook is a dynamic PC that is incredible in design and just as efficient in delivery Crafted with a space of 4GB64GB RAM to ROM memory capacity this 141 inches wide sophisticated Notebook comes with the Windows 10 operating system and can do virtually everything that a bigger sized laptop can do By all standards the IdeaBook is a compact personification of your everyday laptop but with more sleek outlook and better designs,Waafox Ideabook Air WN1401 Intel X5 8350 Quad Core 11Ghz Processor 4GB DDR3 64GB SSD 141Inch Windows 10,Waafox,,,72490,"['waafox', 'ideabook', 'air', 'wn1401', 'intel', 'x5', '8350', 'quad', 'core', '11ghz', 'processor', '4gb', 'ddr3', '64gb', 'ssd', '141inch', 'window', '10']","['38', 'base', '6', 'rate']",['waafox']
2 Based on 2 ratings,Serious power and speed makeseverything you do feel fast andresponsive so you can multitask withease Confidently save everything youcant live without with up to a 1TBhard drive,HP Pavilion X360 Intel Core I57200U 25GHz 8GB RAM 1TB HDD 156 Inch Touch Screen Windows 10 Natural Silver  2FN78EA,HP,,,200000,"['hp', 'pavilion', 'x360', 'intel', 'core', 'i57200u', '25ghz', '8gb', 'ram', '1tb', 'hdd', '156', 'inch', 'touch', 'screen', 'window', '10', 'natur', 'silver', '2fn78ea']","['2', 'base', '2', 'rate']",['hp']
