rating,description,title,brand,imageurls,producturl,price,Title_tokens,Rating_tokens,Brand_tokens,text_column
0 no rating yet,hp envy core i5 8th gen12 gb1 tbwindows 10 laptop has a display for your daily needs which is very superfast and easy to use this laptop is powered by processor coupled with 12gb of ram and has 1 tb hdd storage at this price point as far as the graphics card is concerned this notebook has graphics card to manage the graphical functions to keep it alive it has a battery that can serve you as long as anywhere you go it has lovely features making it very versatile and functional for business operationspower processor,hp envy x360 15mbp111dx intel core i5 8250u 156 1tb hdd 12gb ram 1year mcafee internet security 32gb flash,hp,,,250000,"['hp', 'envy', 'x360', '15mbp111dx', 'intel', 'core', 'i5', '8250u', '156', '1tb', 'hdd', '12gb', 'ram', '1year', 'mcafee', 'internet', 'security', '32gb', 'flash']","['0', 'no', 'rating', 'yet']",['hp'],0 rating yet
0 no rating yet,hp envy x360 core i5 th gen12 gb1 tbwindows 10 laptop has a display for your daily needs which is very superfast and easy to use this laptop is powered by processor coupled with 12gb of ram and has 1 tb hdd storage at this price point as far as the graphics card is concerned this notebook has graphics card to manage the graphical functions to keep it alive it has a battery that can serve you as long as anywhere you go it has lovely features making it very versatile and functional for business operationspower processor,hp envy x360 15mbp111dx intel core i5 8250u 156 1tb hdd 12gb ram backlit keyboard universal modem 32gb flash,hp,,,270000,"['hp', 'envy', 'x360', '15mbp111dx', 'intel', 'core', 'i5', '8250u', '156', '1tb', 'hdd', '12gb', 'ram', 'backlit', 'keyboard', 'universal', 'modem', '32gb', 'flash']","['0', 'no', 'rating', 'yet']",['hp'],0 rating yet
5 based on 1 rating,,dell alienware 17 r4 core i7 1tb512gb 32gb 8gb nvidia 1080 tobii eyetracking win 10 7th gen,dell,,,1590000,"['dell', 'alienware', '17', 'r4', 'core', 'i7', '1tb512gb', '32gb', '8gb', 'nvidia', '1080', 'tobii', 'eyetracking', 'win', '10', '7th', 'gen']","['5', 'based', 'on', '1', 'rating']",['dell'],5 based 1 rating
0 no rating yet,,samsung notebook 9 pro np940x5mx01us 15 touch screen laptop 7th gen intel core i77500u up to 27ghz 16gb ddr4 256gb ssd backlit keyboard windows 10 titan silver,samsung,,,368000,"['samsung', 'notebook', '9', 'pro', 'np940x5mx01us', '15', 'touch', 'screen', 'laptop', '7th', 'gen', 'intel', 'core', 'i77500u', 'up', 'to', '27ghz', '16gb', 'ddr4', '256gb', 'ssd', 'backlit', 'keyboard', 'windows', '10', 'titan', 'silver']","['0', 'no', 'rating', 'yet']",['samsung'],0 rating yet
0 no rating yet,operating system  windows 10 home 64processor  intel pentium 3825u with intel hd graphics 19 ghz 2 mb cache 2 coresprocessor family  intel pentium processormemory  8gb ddr3l sdram storage 500gb 5400 rpm sata dropbox hp connected drive1 supermulti dvd burnerwebcam  hp truevision hd webcam frontfacing with integrated digital microphonecommunication  integrated 10100 baset ethernet lan 80211bgn 1x1 and bluetooth 40 comboease of use  kensington microsaver lock slot poweron password accepts thirdparty security lock devicesdisplay  396 cm 156 diagonal hd brightview wledbacklit 1366 x 768video  intel hd graphicssound  dts studio sound with 2 speakerskeyboard  fullsize islandstyle keyboard with integrated numeric keypad1 hdmi 1 headphonemicrophone combo 2 usb 20 1 usb 30 1 rj451 multiformat sd media card readerbattery type  4cell 41 wh liionpower  45w ac power adapterproduct colour  white silveradditional information pn n7j41ea abuupcean code 889894337276weight 219 kg packed 3 kgdimensions 3843 x 2546 x 243 cm packed 47 x 294 x 76 cm1year hp warranty,hp 15 intel pentium quad core 500gb hdd 8gb ramantivirus 2 user windows 10 laptop  silver,hp,,,127900,"['hp', '15', 'intel', 'pentium', 'quad', 'core', '500gb', 'hdd', '8gb', 'ramantivirus', '2', 'user', 'windows', '10', 'laptop', 'silver']","['0', 'no', 'rating', 'yet']",['hp'],0 rating yet
0 no rating yet,                ,hp pavilion 13u157 x360 convertible  core i525ghz1tb8gb touchbacklit keyboardno dvd rom13win10carrier bag,hp,,,235000,"['hp', 'pavilion', '13u157', 'x360', 'convertible', 'core', 'i525ghz1tb8gb', 'touchbacklit', 'keyboardno', 'dvd', 'rom13win10carrier', 'bag']","['0', 'no', 'rating', 'yet']",['hp'],0 rating yet
0 no rating yet,hp 255 g5 amd quadcore 500gb 4gb dvd 156screen windows 10 16gb flash,hp 255 amd quadcore 500gb 4gb dvd 156screen windows 10 16gb flash,hp,,,97000,"['hp', '255', 'amd', 'quadcore', '500gb', '4gb', 'dvd', '156screen', 'windows', '10', '16gb', 'flash']","['0', 'no', 'rating', 'yet']",['hp'],0 rating yet
0 no rating yet,,hp notebook 15bs013dx intel core i3  24ghz 7th gen dvdwriter fullsize island 8gb ram 1tb hdd  windows 10 32gb flash,hp,,,156000,"['hp', 'notebook', '15bs013dx', 'intel', 'core', 'i3', '24ghz', '7th', 'gen', 'dvdwriter', 'fullsize', 'island', '8gb', 'ram', '1tb', 'hdd', 'windows', '10', '32gb', 'flash']","['0', 'no', 'rating', 'yet']",['hp'],0 rating yet
0 no rating yet,performanceoperating systemwindows 10 home 64processorintel pentium n3710 16 ghz up to 256 ghz with intel turbo boost technology2 mb cache 4 coresprocessor family intel pentium processormemory4 gb ddr3l1600 sdram 1 x 4 gbstorage500 gb 5400 rpm satadropbox1graphicsintegrated intel hd graphics 405audiodts studio sound dual speakersdisplay295 cm 116 diagonal hd ips uwva wledbacklit multitouchenablededgetoedge glass 1366 x 768power45 w ac power adapterbattery type3cell 41 wh liiontarget battery lifeup to 11 hours estimated battery time3connectivitywireless connectivity80211bgn 1x1 and bluetooth 40 combo miracast compatibleports1 hdmi 1 headphonemicrophone combo 2 usb 20 1 usb 311 multiformat sd media card readerwebcamhp webcam with integrated digital microphonedesignproduct colorjack black linear grooves patternsoftwarehp appshp audio switch hp coolsense hp jumpstartsoftwarecyberlink powerdirector netflix 1 month trial for new microsoft office 365customersservice  supportmcafee livesafe 2additional informationpart numberpn 1jl40ea bh5upcean code 190781571049energy efficiency complianceenergy star certified epeat silver registeredweight145 kgpacked 219 kgdimensions306 x 208 x 198 cmpacked 435 x 26 x 69 cmwarranty1year limited parts labour and carryin service you can expand the warrantycoverage of your product to reach up to 3 years in total for more information checkwith your hp resellerkeyboardfullsize islandstyle keyboardhp imagepad with multitouch gesture supportsecurity managementkensington microsaver lock slot poweron password accepts thirdparty securitylock devices trusted platform module tpm supportsensorsaccelerometers gyroscope ecompass,hp x360 convertible 11ab002nia intel pentium n3710 16 ghz 4gb ram 500gb hdd window 10 home,hp,,,141000,"['hp', 'x360', 'convertible', '11ab002nia', 'intel', 'pentium', 'n3710', '16', 'ghz', '4gb', 'ram', '500gb', 'hdd', 'window', '10', 'home']","['0', 'no', 'rating', 'yet']",['hp'],0 rating yet
0 no rating yet,hp pavilion notebook 15au023cl touchscreen windows 10 home 6th generation intel core i56200u processor 12gb ddr4 sdram 1 dimm intel hd graphics 520 1tb 5400rpm serial ata hard drive finish natural silver and ash silver with horizontal brushing in digital thread lines frontfacing hp wide vision hd webcam with integrated dual array digital microphones supermulti dvd burner 156inch diagonal hd sva brightview wledbacklit 1366x768 1x1 80211bgn wlan and bluetooth multiformat digital media card reader bo play with dual speakers fullsize bilingual english islandstyle keyboardwhatever youre passionate about get ready to take it to the next level with the allnew hp pavilion notebook its packed with the features you need to spark your creativity,hp pavilion 15intel core i5 28ghz 12gb 1tb hdd 156inch touchscreen windows 10 laptop  silver,hp,,,380000,"['hp', 'pavilion', '15intel', 'core', 'i5', '28ghz', '12gb', '1tb', 'hdd', '156inch', 'touchscreen', 'windows', '10', 'laptop', 'silver']","['0', 'no', 'rating', 'yet']",['hp'],0 rating yet
0 no rating yet,,hp pavilion 15cc563st intel core i77500u 27 ghz 12 gb ram 1 tb hdd 7th generation 156 inches backlit keyboard windows 10 32gb flash  usb light,hp,,,220000,"['hp', 'pavilion', '15cc563st', 'intel', 'core', 'i77500u', '27', 'ghz', '12', 'gb', 'ram', '1', 'tb', 'hdd', '7th', 'generation', '156', 'inches', 'backlit', 'keyboard', 'windows', '10', '32gb', 'flash', 'usb', 'light']","['0', 'no', 'rating', 'yet']",['hp'],0 rating yet
0 no rating yet,,apple 13 macbook air 22ghz intel core i7 8gb ram 512gb ssd mac os silver z0uu1lla,apple,,,780000,"['apple', '13', 'macbook', 'air', '22ghz', 'intel', 'core', 'i7', '8gb', 'ram', '512gb', 'ssd', 'mac', 'os', 'silver', 'z0uu1lla']","['0', 'no', 'rating', 'yet']",['apple'],0 rating yet
5 based on 1 rating,brand namealienwareseriesaw17r4 pusitem model numberaw17r47352slvpushardware platformpc notebookoperating systemwindows 10 home 64bit englishitem weight97 poundsproduct dimensions13 x 167 x 12 inchesitem dimensions l x w x h13 x 1669 x 117 inchescolorepic silverprocessor brandintelprocessor count4flash memory size2560hard drive interfacesolid statehard drive rotational speed7200 rpmoptical drive typenonebatteries1 lithium ion batteries required included,dell alienware 17 r4 core i7 1tb512gb128gb 32gb 8gb nvidia 1080 tobii eyetracking win 10 7th gen,dell,,,1650000,"['dell', 'alienware', '17', 'r4', 'core', 'i7', '1tb512gb128gb', '32gb', '8gb', 'nvidia', '1080', 'tobii', 'eyetracking', 'win', '10', '7th', 'gen']","['5', 'based', 'on', '1', 'rating']",['dell'],5 based 1 rating
0 no rating yet,,hp hp 15 notebook pc 4gb ram 500gb windows 10 touch screen laptop,hp,,,195000,"['hp', 'hp', '15', 'notebook', 'pc', '4gb', 'ram', '500gb', 'windows', '10', 'touch', 'screen', 'laptop']","['0', 'no', 'rating', 'yet']",['hp'],0 rating yet
0 no rating yet,,apple macbook pro 154 retina intel i7 512gb 16gb 29ghz 4gb radeon space gray mptt2lla newest version,apple,,,820000,"['apple', 'macbook', 'pro', '154', 'retina', 'intel', 'i7', '512gb', '16gb', '29ghz', '4gb', 'radeon', 'space', 'gray', 'mptt2lla', 'newest', 'version']","['0', 'no', 'rating', 'yet']",['apple'],0 rating yet
0 no rating yet,the,hp pavilion 15 intel core i57200u backlit keyboard25ghz 8gb ram1tb hdd 156inch touch screen windows 10 laptop free bag red  silver,hp,,,190000,"['hp', 'pavilion', '15', 'intel', 'core', 'i57200u', 'backlit', 'keyboard25ghz', '8gb', 'ram1tb', 'hdd', '156inch', 'touch', 'screen', 'windows', '10', 'laptop', 'free', 'bag', 'red', 'silver']","['0', 'no', 'rating', 'yet']",['hp'],0 rating yet
0 no rating yet,13 apple macbook pro with touch bar 35ghz 7th gen kaby lake dualcore intel core i7 turbo boost up to 40ghz with 4mb shared l3 cache 512gb pciebased onboard ssd 16gb of 2133mhz lpddr3 onboard memory 133inch diagonal ledbacklit display with ips technology 2560by1600 native resolution at 227 pixels per inch with support for millions of colors 500 nits brightness intel iris plus graphics 650 four thunderbolt 3 usbc ports with support for charging displayport thunderbolt up to 40 gbps usb 31 gen 2 up to 10 gbps touch bar with integrated touch id sensor fullsize english backlit keyboard with 64 us or 65 iso keys including 4 arrow keys  ambient light sensor force touch trackpad for precise cursor control and pressuresensing capabilities enables force clicks accelerators pressuresensitive drawing and multitouch gestures 80211ac wifi wireless networking ieee 80211abgn compatible bluetooth 42 wireless technology 720p facetime hd camera one external display with 5120by2880 resolution at 60hz at over a billion colors or up to two external displays with 4096by2304 resolution at 60hz at over a billion colors stereo speakers with high dynamic range three microphones 35 mm headphone jack up to 10 hours battery life up to 30 days of standby time builtin 492watthour lithiumpolymer battery 61w usbc power adapter height 059 inch 149 cm width 1197 inches 3041 cm depth 836 inches 2124 cm weight 302 pounds 137 kg,apple retina macbook pro 13 touch bar 35ghz i7 kaby lake  16gb 512gb  silver  2017 model,apple,,,784000,"['apple', 'retina', 'macbook', 'pro', '13', 'touch', 'bar', '35ghz', 'i7', 'kaby', 'lake', '16gb', '512gb', 'silver', '2017', 'model']","['0', 'no', 'rating', 'yet']",['apple'],0 rating yet
5 based on 1 rating,,hp elitebook 850 g3 6th gen intel core i76500u  500 gb 8 gb 156 w10 pro,hp,,,500000,"['hp', 'elitebook', '850', 'g3', '6th', 'gen', 'intel', 'core', 'i76500u', '500', 'gb', '8', 'gb', '156', 'w10', 'pro']","['5', 'based', 'on', '1', 'rating']",['hp'],5 based 1 rating
4 based on 2 ratings,the new aspire 3 series is perfect for every need it packs a beautiful 156 hd screen solid performance and the latest wifi into an attractive design thats easy to place in a backpack and take to class offering good bang for your buck this has all the essentials you need so you can quickly browse the web manage a budget or catch up on schoolwork acer aspire 3 a31531 156 hd acer cinecrystal led lcd intel graphics intel celeron n3350 2gb ddr3 500gb hdd linux  free dos bootup,acer aspire 3 a31531 intel celeron n3350 500gb hdd 2gb ram 156inch hd linux  free dos laptop  black,acer,,,84990,"['acer', 'aspire', '3', 'a31531', 'intel', 'celeron', 'n3350', '500gb', 'hdd', '2gb', 'ram', '156inch', 'hd', 'linux', 'free', 'dos', 'laptop', 'black']","['4', 'based', 'on', '2', 'ratings']",['acer'],4 based 2 ratings
0 no rating yet,the new aspire 3 series is perfect for every need it packs a beautiful 156 hd screen solid performance and the latest wifi into an attractive design thats easy to place in a backpack and take to class offering good bang for your buck this has all the essentials you need so you can quickly browse the web manage a budget or catch up on schoolwork acer aspire 3 a31531 156 hd acer cinecrystal led lcd intel graphics intel celeron n3350 4gb ddr3 500gb hdd linux  free dos bootup,acer aspire 3 a31531c2lw intel celeron n3350 500gb hdd 4gb ram 156inch hd linux  free dos laptop  black,acer,,,87990,"['acer', 'aspire', '3', 'a31531c2lw', 'intel', 'celeron', 'n3350', '500gb', 'hdd', '4gb', 'ram', '156inch', 'hd', 'linux', 'free', 'dos', 'laptop', 'black']","['0', 'no', 'rating', 'yet']",['acer'],0 rating yet
47 based on 3 ratings,the new aspire 3 series is perfect for every need it packs a beautiful 156 hd screen solid performance and the latest wifi into an attractive design thats easy to place in a backpack and take to class offering good bang for your buck this has all the essentials you need so you can quickly browse the web manage a budget or catch up on schoolwork acer aspire 3 a3155135dq156  intel core i37100u 4gb ddr4 1tb hdd free dos,acer aspire 3 a3155135dq intel core i36006u 24ghz 1tb hdd 4gb ram 155inch free dos laptop  black,acer,,,129990,"['acer', 'aspire', '3', 'a3155135dq', 'intel', 'core', 'i36006u', '24ghz', '1tb', 'hdd', '4gb', 'ram', '155inch', 'free', 'dos', 'laptop', 'black']","['47', 'based', 'on', '3', 'ratings']",['acer'],47 based 3 ratings
0 no rating yet,hp 15f222wm  156 laptop touchscreen windows 10 home intel pentium quadcore processor 4gb memory 500gb hard drivedisplay 156operating system windows 10 homeprocessor intel pentium quadcore processorram memory 4gbhard drive 500gbthis reliable valuepacked laptop combines the features you need to get the job done and a sleek thin design you can easily take on the road hp 15f222wm 156 laptopfeatures and benefits156 touchscreen displayled backlight hd touchscreen displayintel pentium quadcore processor216ghz with max turbo speed of 266ghz4gb ddr3l sdram system memorygives you the power to handle most powerhungry applications and tonnes of multimedia work500gb sata hard drivestore 333000 photos 142000 songs or 263 hours of hd video and more5 hours of battery lifelonglasting battery life gives you all day to access your photos videos music and documentsintel hd graphicswith 1792mb dedicated graphics memoryweight 505 lbsthin design you can easily take on the roadsuper multi dvd burnerwatch movies and read and write cds and dvds in multiple formats10100 fast ethernet 80211bgn wireless lanconnect to a broadband modem with wired ethernet or wirelessly connect to a wifi signal or hotspot with the 80211bgn connection built into your pcadditional featuresfrontfacing vga webcam with integrated digital microphonemultiin1 card readerfullsize islandstyle keyboard with numeric keypad1 x dcin port 1 x ethernet port 1 x hdmi port 1 x headphonemicrophone jack 1 x usb 20 port 2 x usb 30 ports3cell lithiumion batterydimensions 089 x 1518 x 1016colour black licoricewhats in the boxpower cord and ac adapter3cell batteryquick start guide,hp 15  touchscreen pentium quadcore  4gb ram  500 hdd 156 win 10  black,hp,,,118490,"['hp', '15', 'touchscreen', 'pentium', 'quadcore', '4gb', 'ram', '500', 'hdd', '156', 'win', '10', 'black']","['0', 'no', 'rating', 'yet']",['hp'],0 rating yet
45 based on 2 ratings,the hp 15 is the perfect hybrid of design reliability and great features youve got premium style and superior productivity in one handy package while keeping your wallet in mind now thats something to get excited about,hp 15 intel celeron 16ghz 4gb ram500gb hdd 156inch screen windows 10,hp,,,99990,"['hp', '15', 'intel', 'celeron', '16ghz', '4gb', 'ram500gb', 'hdd', '156inch', 'screen', 'windows', '10']","['45', 'based', 'on', '2', 'ratings']",['hp'],45 based 2 ratings
5 based on 1 rating,,innjoo leapbook a100 intel atom x5 quad core 2gb32gb emmc 14inch windows 10 laptop  champagne gold,innjoo,,,65000,"['innjoo', 'leapbook', 'a100', 'intel', 'atom', 'x5', 'quad', 'core', '2gb32gb', 'emmc', '14inch', 'windows', '10', 'laptop', 'champagne', 'gold']","['5', 'based', 'on', '1', 'rating']",['innjoo'],5 based 1 rating
4 based on 24 ratings,model  hp 255 amd quad core4 cores 500gb hdd 4gb ram with bag 16gb flashprocessor up to 216ghzmemory  4gbhard disk  500gbgraphics card  intel hd graphicsscreen  156 hd bv ledbacklight displaysupermulti 8x dvdrwnetwork  wifi 80211 bgn bluetoothwebcam  micbattery  liion 4celloperating system  windows 10 homeother  memory card reader wireless dual audio speakerscolors blackmass 3kgwarranty  1 year,hp 255 amd quad core 500gb hdd4gb 32gb flash windows 10,hp,,,92500,"['hp', '255', 'amd', 'quad', 'core', '500gb', 'hdd4gb', '32gb', 'flash', 'windows', '10']","['4', 'based', 'on', '24', 'ratings']",['hp'],4 based 24 ratings
38 based on 6 ratings,the ideabook notebook is a dynamic pc that is incredible in design and just as efficient in delivery crafted with a space of 4gb64gb ram to rom memory capacity this 141 inches wide sophisticated notebook comes with the windows 10 operating system and can do virtually everything that a bigger sized laptop can do by all standards the ideabook is a compact personification of your everyday laptop but with more sleek outlook and better designs,waafox ideabook air wn1401 intel x5 8350 quad core 11ghz processor 4gb ddr3 64gb ssd 141inch windows 10,waafox,,,72490,"['waafox', 'ideabook', 'air', 'wn1401', 'intel', 'x5', '8350', 'quad', 'core', '11ghz', 'processor', '4gb', 'ddr3', '64gb', 'ssd', '141inch', 'windows', '10']","['38', 'based', 'on', '6', 'ratings']",['waafox'],38 based 6 ratings
2 based on 2 ratings,serious power and speed makeseverything you do feel fast andresponsive so you can multitask withease confidently save everything youcant live without with up to a 1tbhard drive,hp pavilion x360 intel core i57200u 25ghz 8gb ram 1tb hdd 156 inch touch screen windows 10 natural silver  2fn78ea,hp,,,200000,"['hp', 'pavilion', 'x360', 'intel', 'core', 'i57200u', '25ghz', '8gb', 'ram', '1tb', 'hdd', '156', 'inch', 'touch', 'screen', 'windows', '10', 'natural', 'silver', '2fn78ea']","['2', 'based', 'on', '2', 'ratings']",['hp'],2 based 2 ratings
